Country,Amount,Lat,Lng,Exporter,ExporterLat,ExporterFromLng
AUSTRIA,0,47.33,13.33,AUSTRIA,47.33,13.33
AUSTRIA,134600,47.33,13.33,BELGIUM,50.83,4
AUSTRIA,0,47.33,13.33,BULGARIA,43,25
AUSTRIA,0,47.33,13.33,CYPRUS,35,33
AUSTRIA,0,47.33,13.33,CZECH REPUBLIC,49.75,15.5
AUSTRIA,0,47.33,13.33,DENMARK,56,10
AUSTRIA,0,47.33,13.33,ESTONIA,59,26
AUSTRIA,0,47.33,13.33,FINLAND,64,26
AUSTRIA,0,47.33,13.33,FRANCE,46,2
AUSTRIA,3700,47.33,13.33,GERMANY,51,9
AUSTRIA,0,47.33,13.33,GREECE,39,22
AUSTRIA,13600,47.33,13.33,HUNGARY,47,20
AUSTRIA,0,47.33,13.33,IRELAND,53,-8
AUSTRIA,93800,47.33,13.33,ITALY,42.83,12.83
AUSTRIA,0,47.33,13.33,LATVIA,57,25
AUSTRIA,0,47.33,13.33,LITHUANIA,56,24
AUSTRIA,0,47.33,13.33,LUXEMBOURG,49.75,6.17
AUSTRIA,0,47.33,13.33,MALTA,35.83,14.58
AUSTRIA,109800,47.33,13.33,NETHERLANDS,52.5,5.75
AUSTRIA,0,47.33,13.33,POLAND,52,20
AUSTRIA,0,47.33,13.33,PORTUGAL,39.5,-8
AUSTRIA,6400,47.33,13.33,ROMANIA,46,25
AUSTRIA,0,47.33,13.33,SLOVAKIA,48.67,19.5
AUSTRIA,0,47.33,13.33,SLOVENIA,46,15
AUSTRIA,0,47.33,13.33,SPAIN,40,-4
AUSTRIA,0,47.33,13.33,SWEDEN,62,15
AUSTRIA,0,47.33,13.33,UNITED KINGDOM,54,-2
AUSTRIA,0,47.33,13.33,ANDORRA,42.5,1.6
AUSTRIA,0,47.33,13.33,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,41.83,22
AUSTRIA,0,47.33,13.33,GIBRALTAR,36.18,-5.37
AUSTRIA,0,47.33,13.33,GHANA,8,-2
AUSTRIA,0,47.33,13.33,GREENLAND,72,-40
AUSTRIA,0,47.33,13.33,JAPAN,36,138
AUSTRIA,0,47.33,13.33,KAZAKHSTAN,48,68
AUSTRIA,0,47.33,13.33,RUSSIAN FEDERATION,60,100
AUSTRIA,0,47.33,13.33,SAO TOME AND PRINCIPE,1,7
AUSTRIA,0,47.33,13.33,SWITZERLAND,47,8
AUSTRIA,0,47.33,13.33,THAILAND,15,100
AUSTRIA,0,47.33,13.33,URUGUAY,-33,-56
AUSTRIA,0,47.33,13.33,US,38,-97
BELGIUM,0,50.83,4,AUSTRIA,47.33,13.33
BELGIUM,0,50.83,4,BELGIUM,50.83,4
BELGIUM,35400,50.83,4,BULGARIA,43,25
BELGIUM,0,50.83,4,CYPRUS,35,33
BELGIUM,0,50.83,4,CZECH REPUBLIC,49.75,15.5
BELGIUM,79500,50.83,4,DENMARK,56,10
BELGIUM,0,50.83,4,ESTONIA,59,26
BELGIUM,0,50.83,4,FINLAND,64,26
BELGIUM,2387100,50.83,4,FRANCE,46,2
BELGIUM,191200,50.83,4,GERMANY,51,9
BELGIUM,600,50.83,4,GREECE,39,22
