Country,Received,Exported,AUSTRIA,BELGIUM,BULGARIA,CYPRUS,CZECH REPUBLIC,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UNITED KINGDOM,ANDORRA,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,GIBRALTAR,GHANA,GREENLAND,JAPAN,KAZAKHSTAN,RUSSIAN FEDERATION,SAO TOME AND PRINCIPE,SWITZERLAND,THAILAND,URUGUAY,US,Lat,Lon
AUSTRIA,361900,1200,0,134600,0,0,0,0,0,0,0,3700,0,13600,0,93800,0,0,0,0,109800,0,0,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.33,13.33
BELGIUM,6368400,22123600,0,0,35400,0,0,79500,0,0,2387100,191200,600,0,654900,225700,0,0,400,0,1408400,0,0,1228600,0,0,5200,0,151400,0,0,0,0,0,0,0,0,0,0,0,0,0,50.83,4
BULGARIA,2994800,1822700,0,181900,0,0,0,0,0,0,42000,0,0,827200,0,71300,0,0,0,0,0,0,0,1870800,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,25
CYPRUS,291800,0,0,200600,0,0,0,0,0,0,84800,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,33
CZECH REPUBLIC,234500,6600,0,38200,0,0,0,0,0,0,32500,0,0,0,63400,84000,0,0,0,0,12300,1100,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.75,15.5
DENMARK,206600,242000,0,76100,0,0,0,0,0,0,0,0,0,0,44600,40700,0,0,0,0,40900,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10
ESTONIA,157900,31100,0,34300,0,0,0,0,0,0,0,0,0,110900,0,0,0,3500,0,0,0,0,0,0,0,0,2500,6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,26
FINLAND,1534600,8800,0,832800,0,0,0,25400,28600,0,0,0,0,0,0,32700,0,0,0,0,615100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,26
FRANCE,11840000,5183400,0,5898900,0,0,0,0,0,0,0,51000,0,0,528600,20700,0,0,1411100,0,2102500,0,0,0,0,0,24500,0,1802700,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2
GERMANY,1440800,329300,0,1108000,0,0,0,0,0,0,23700,0,0,0,95800,34000,0,0,2700,0,38200,75300,0,58800,0,0,3300,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,51,9
GREECE,74300,700,0,0,34300,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,15900,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,22
HUNGARY,1348700,1071500,0,43000,0,0,0,0,0,0,0,0,0,0,0,1238900,0,0,0,0,0,0,0,16700,0,0,50100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,20
IRELAND,11500,2926800,0,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-8
ITALY,23321300,2527900,0,2573100,0,0,0,137100,0,0,2154300,16000,0,0,1172500,0,0,585400,0,0,973400,10571100,55600,1034700,0,6400,4028900,0,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,42.83,12.83
LATVIA,116100,0,0,0,0,0,0,0,0,5100,0,0,0,108300,0,0,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,25
LITHUANIA,2600,591900,0,1700,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,24
LUXEMBOURG,130900,1414200,0,113700,0,0,0,0,0,0,11400,100,0,0,0,0,0,0,0,0,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.75,6.17
